Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,218870,"Food","Cooking Ingredients","Salt","Pink : Salt",,"Sel Rose","Standard","1 x 1 kg",1.0000,1,"1.000","kg","tub",0%,"102712","14.23","IHG-ENTEGRA","1.0000000","kg","14.23",,"1.0000","1","1.000","1.0000000",
,222051,"Food","Dessert Sundries & Pie Fillings (Fzn)","Fruit Puree","Pear Puree",,"Boiron","Standard","1 x 1kg",1.0000,1,"1.000","kg","Packet",0%,"106239","4.28","IHG-ENTEGRA","1.0000000","kg","4.28",,"1.0000","1","1.000","1.0000000",
,223496,"Food","Oil","Olive Oil","Extra Virgin : Olive Oil",,"Luglio","Standard","1 x 5ltr",1.0000,1,"5.000","ltr",,0%,"101968","21.78","IHG-ENTEGRA","5.0000000","ltr","21.78",,"1.0000","1","5.000","5.0000000",
,223573,"Food","Canned / Tub - Fruit","Apple","Cherry Apples : with Stems",,"Own","Standard","1 x 424 g",1.0000,1,"424.000","g","tin",0%,"101227","2.01","IHG-ENTEGRA","0.4240000","kg","2.01",,"1.0000","1","0.424","0.4240000",
,223775,"Food","Baking Ingredients","Chocolate Products","Excellence : Pistoles : 55%",,"Own","Standard","1 x 5 kg",1.0000,1,"5.000","kg","Box",0%,"100106","46.15","IHG-ENTEGRA","5.0000000","kg","46.15",,"1.0000","1","5.000","5.0000000",
,223864,"Food","Canned / Tub - Fruit","Apple","Apple : Solid Pack",,"Own","Standard","1 x 2.6 kg",1.0000,1,"2.600","kg","Can",0%,"101222","4.07","IHG-ENTEGRA","2.6000000","kg","4.07",,"1.0000","1","2.600","2.6000000",
,224082,"Food","Table Sauce & Condiments","Vinegar","Malt Vinegar",,"Own","Standard","1 x 5 ltr",1.0000,1,"5.000","ltr",,0%,"101503","4.84","IHG-ENTEGRA","5.0000000","ltr","4.84",,"1.0000","1","5.000","5.0000000",
,224100,"Food","Table Sauce & Condiments","OTHER Sauces","Tabasco Sauce",,"Own","Standard","1 x 57 ml",1.0000,1,"57.000","ml",,0%,"101482","1.50","IHG-ENTEGRA","0.0570000","ltr","1.5",,"1.0000","1","0.057","0.0570000",
,227702,"Food","Table Sauce & Condiments","Vinegar","Raspberry Vinegar",,"Own","Standard","1 x 1 ltr",1.0000,1,"1.000","ltr","bottle",0%,"113301","2.85","IHG-ENTEGRA","1.0000000","ltr","2.85",,"1.0000","1","1.000","1.0000000",
,227811,"Food","Canned / Tub - Fruit","Lychees","Lychees : in syrup",,"Own","Standard","1 x 567 g",1.0000,1,"567.000","g","Can",0%,"100554","2.19","IHG-ENTEGRA","0.5670000","kg","2.19",,"1.0000","1","0.567","0.5670000",
,254175,"Food","Rice","Arborio","Arborio Rice",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"102022","2.80","IHG-ENTEGRA","1.0000000","kg","2.8",,"1.0000","1","1.000","1.0000000",
,271371,"Food","Ice Cream, Lollies & Fzn Fruit","Frozen Fruit Puree","Lychee Puree",,"Boiron","Standard","1 x 1kg",1.0000,1,"1.000","kg","each",0%,"105723","7.79","IHG-ENTEGRA","1.0000000","kg","7.79",,"1.0000","1","1.000","1.0000000",
,273334,"Food","Pickles & Relish","Pickles","Pickled : Walnuts",,"Own","Standard","1 x 390 g",1.0000,1,"390.000","g","jar",0%,"101922","2.78","IHG-ENTEGRA","0.3900000","kg","2.78",,"1.0000","1","0.390","0.3900000",
,274846,"Food","Fine Foods","Essence & Flavouring","Rose Water",,"Own","Standard","1 x 1 ltr",1.0000,1,"1.000","ltr",,0%,"109389","11.64","IHG-ENTEGRA","1.0000000","ltr","11.64",,"1.0000","1","1.000","1.0000000",
,275090,"Food","Crisp & Snacks","Nuts","Thai Nuts",,"Own","Standard","1 x 2.5 kg",1.0000,1,"2.500","kg",,20%,"108510","17.21","IHG-ENTEGRA","2.5000000","kg","17.21",,"1.0000","1","2.500","2.5000000",
,291307,"Food","Canned / Tub - Fruit","Cherries","Black Pitted : Cherries : In Syrup",,"Own","Standard","1 x 850 g",1.0000,1,"850.000","g",,0%,"200913","2.45","IHG-ENTEGRA","0.8500000","kg","2.45",,"1.0000","1","0.850","0.8500000",
,291566,"Food","Cooking Ingredients","Raw Pastry","Fresh : Filo Pastry",,"Own","Standard","1 x 500 g",1.0000,1,"500.000","g","Packet",0%,"107533","2.77","IHG-ENTEGRA","0.5000000","kg","2.77",,"1.0000","1","0.500","0.5000000",
,299315,"Food","Dessert Sundries & Pie Fillings (Fzn)","Fruit Puree","Ponthier MORELLO CHERRY PUREE (FROZEN)",,,,"1 x 1kg",1.0000,1,"1.000","kg",,0%,"107638","6.35","IHG-ENTEGRA","1.0000000","kg","6.35",,"1.0000","1","1.000","1.0000000",
,300266,"Food","Table Sauce & Condiments","Vinegar","Balsamic Vinegar",,"Own","Standard","1 x 500 ml",1.0000,1,"500.000","ml",,0%,"101561","1.97","IHG-ENTEGRA","0.5000000","ltr","1.97",,"1.0000","1","0.500","0.5000000",
,300525,"Food","Crisp & Snacks","Corn Snacks","Tortilla Chips : Salted",,"Own","Standard","12 x 500 g",1.0000,12,"500.000","g",,20%,"120280","21.85","IHG-ENTEGRA","6.0000000","kg","1.8208",,"1.0000","12","0.500","6.0000000",
,301752,"Drinks","Fruit Juice","Fruit Juice","Apple Juice",,"Own","Standard","1 x 1 ltr",1.0000,1,"1.000","ltr",,20%,"101100","0.78","IHG-ENTEGRA","1.0000000","ltr","0.78",,"1.0000","1","1.000","1.0000000",
,302615,"Food","Sugar & Sweeteners","Sugar","Sugar Cubes : Demerara",,"Own","Standard","1 x 500 g",1.0000,1,"500.000","g",,0%,"101681","1.32","IHG-ENTEGRA","0.5000000","kg","1.32",,"1.0000","1","0.500","0.5000000",
,306340,"Food","Sugar & Sweeteners","Sugar","Caster Sugar",,,,"1 x 1 kg",1.0000,1,"1.000","kg",,0%,"101676","1.11","IHG-ENTEGRA","1.0000000","kg","1.11",,"1.0000","1","1.000","1.0000000",
,307755,"Food","Canned Other","Speciality","Palm Hearts",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg","Can",0%,"101929","3.55","IHG-ENTEGRA","1.0000000","kg","3.55",,"1.0000","1","1.000","1.0000000",
,319378,"Food","Canned Baked Beans","Baked Beans","Baked Beans : .",,"Heinz","Standard","1 x 2.6 kg",1.0000,1,"2.600","kg","Can",0%,"101825","3.96","IHG-ENTEGRA","2.6000000","kg","3.96",,"1.0000","1","2.600","2.6000000",
,319852,"Food","Cereal","Coco Pops","Coco Pops",,"Kellogg's","Standard","1 x 295 g",1.0000,1,"295.000","g",,0%,"100982","2.17","IHG-ENTEGRA","0.2950000","kg","2.17",,"1.0000","1","0.295","0.2950000",
